[2018-02-23 00:09:52,454][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=60901928}, noHeadMomory=MemoryCommonEntity{committed=76804096, init=2555904, max=-1, used=73968608}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20447232, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20447232, init=2555904, max=251658240, used=19354368}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48671120}, currentMemory=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48671120}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5972976}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5972976}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=26128472}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:53,484][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=61940496}, noHeadMomory=MemoryCommonEntity{committed=77131776, init=2555904, max=-1, used=74494752}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=19795072}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48717880}, currentMemory=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48717880}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=26820640}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:54,485][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62286736}, noHeadMomory=MemoryCommonEntity{committed=77131776, init=2555904, max=-1, used=74329848}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=19627968}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48720080}, currentMemory=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48720080}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27166880}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:55,487][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62286792}, noHeadMomory=MemoryCommonEntity{committed=77131776, init=2555904, max=-1, used=74300664}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=19598656}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48720208}, currentMemory=MemoryCommonEntity{committed=49934336, init=0, max=-1, used=48720208}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27166936}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:56,502][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62632872}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73778264}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=19072128}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27513016}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:57,503][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62632928}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73697112}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18990976}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27513072}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:58,504][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62987792}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73697112}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18990976}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724336}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27867936}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:09:59,505][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=62987848}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73675072}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18968640}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724632}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48724632}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=27867992}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:10:00,506][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=63333928}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73676592}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18969728}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48725064}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48725064}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=28214072}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:10:01,507][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=63685288}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73676752}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18969728}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48725224}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48725224}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=28565432}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
[2018-02-23 00:10:02,508][onyxia-MEMORY-1][INFO][onyxia-memory-logger:83] MemoryInfoEntity{headMomory=MemoryCommonEntity{committed=116391936, init=134217728, max=116391936, used=63685344}, noHeadMomory=MemoryCommonEntity{committed=77393920, init=2555904, max=-1, used=73685256}, memoryPoolInfoEntityList=[MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=20372352}, currentMemory=MemoryCommonEntity{committed=20774912, init=2555904, max=251658240, used=18977408}, name='Code Cache', managerName='[CodeCacheManager]', objectName='java.lang:type=MemoryPool,name=Code Cache'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48726048}, currentMemory=MemoryCommonEntity{committed=50196480, init=0, max=-1, used=48726048}, name='Metaspace', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Metaspace'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, currentMemory=MemoryCommonEntity{committed=6422528, init=0, max=1073741824, used=5981800}, name='Compressed Class Space', managerName='[Metaspace Manager]', objectName='java.lang:type=MemoryPool,name=Compressed Class Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=50331648, init=50331648, max=50331648, used=50331648}, currentMemory=MemoryCommonEntity{committed=34603008, init=50331648, max=34603008, used=28565488}, name='PS Eden Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Eden Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, currentMemory=MemoryCommonEntity{committed=14680064, init=8388608, max=14680064, used=14223680}, name='PS Survivor Space', managerName='[PS MarkSweep, PS Scavenge]', objectName='java.lang:type=MemoryPool,name=PS Survivor Space'}, MemoryPoolInfoEntity{peakMemroy=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, currentMemory=MemoryCommonEntity{committed=67108864, init=67108864, max=67108864, used=20896176}, name='PS Old Gen', managerName='[PS MarkSweep]', objectName='java.lang:type=MemoryPool,name=PS Old Gen'}]}
