[2018-02-23 00:09:52,448][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=18, peakCount=18, totalStartedThreadCount=20, daemonCount=16}
[2018-02-23 00:09:53,483][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:54,485][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:55,485][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:56,486][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:57,498][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:58,500][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:09:59,501][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:10:00,502][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
[2018-02-23 00:10:01,504][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:02,505][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:03,506][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:04,506][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:05,507][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:06,507][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:07,508][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:08,509][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:09,510][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:10,512][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:11,514][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:12,514][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:13,515][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:14,517][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:15,518][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:16,520][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:17,521][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:18,521][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:19,522][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:20,523][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:21,524][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:22,525][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:23,528][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:24,529][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:25,530][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:26,531][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:27,532][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:28,533][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:29,535][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:30,536][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:31,537][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:32,538][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:33,539][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:34,540][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:35,541][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:36,543][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:37,544][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:38,545][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:39,545][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:40,546][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:41,547][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:42,548][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:10:43,549][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
